yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin
1990,5,16,,,3,1,LOWER,AM,,,287,8,285
1990,5,16,,,3,1,LOWER,AM,,,292,5,290
1990,5,16,,,3,1,LOWER,AM,,,297,3,295
1990,5,16,,,3,1,LOWER,AM,,,302,1,300
1990,5,16,,,3,35,UPPER,PM,,,232,1,230
1990,5,16,,,3,35,UPPER,PM,,,237,3,235
1990,5,16,,,3,35,UPPER,PM,,,242,12,240
1990,5,16,,,3,35,UPPER,PM,,,247,22,245
1990,5,16,,,3,35,UPPER,PM,,,252,24,250
1990,5,16,,,3,35,UPPER,PM,,,257,25,255
1990,5,16,,,3,35,UPPER,PM,,,262,24,260
1990,5,16,,,3,35,UPPER,PM,,,267,21,265
1990,5,16,,,3,35,UPPER,PM,,,272,18,270
1990,5,16,,,3,35,UPPER,PM,,,277,18,275
1990,5,16,,,3,35,UPPER,PM,,,282,19,280
1990,5,16,,,3,35,UPPER,PM,,,287,5,285
1990,5,16,,,3,35,UPPER,PM,,,292,5,290
1990,5,16,,,3,35,UPPER,PM,,,297,2,295
1990,5,16,,,3,35,UPPER,PM,,,302,2,300
1990,5,17,,,3,48,UPPER,AM,,,237,3,235
1990,5,17,,,3,48,UPPER,AM,,,242,7,240
1990,5,17,,,3,48,UPPER,AM,,,247,18,245
1990,5,17,,,3,48,UPPER,AM,,,252,24,250
1990,5,17,,,3,48,UPPER,AM,,,257,31,255
1990,5,17,,,3,48,UPPER,AM,,,262,28,260
1990,5,17,,,3,48,UPPER,AM,,,267,15,265
1990,5,17,,,3,48,UPPER,AM,,,272,18,270
1990,5,17,,,3,48,UPPER,AM,,,277,15,275
1990,5,17,,,3,48,UPPER,AM,,,282,14,280
1990,5,17,,,3,48,UPPER,AM,,,287,7,285
1990,5,17,,,3,48,UPPER,AM,,,292,6,290
1990,5,17,,,3,48,UPPER,AM,,,297,1,295
1990,5,17,,,3,48,UPPER,AM,,,302,1,300
1990,5,17,,,3,26,LOWER,PM,,,237,2,235
1990,5,17,,,3,26,LOWER,PM,,,242,14,240
1990,5,17,,,3,26,LOWER,PM,,,247,16,245
1990,5,17,,,3,26,LOWER,PM,,,252,30,250
1990,5,17,,,3,26,LOWER,PM,,,257,26,255
1990,5,17,,,3,26,LOWER,PM,,,262,19,260
1990,5,17,,,3,26,LOWER,PM,,,267,30,265
1990,5,17,,,3,26,LOWER,PM,,,272,24,270
1990,5,17,,,3,26,LOWER,PM,,,277,15,275
1990,5,17,,,3,26,LOWER,PM,,,282,15,280
1990,5,17,,,3,26,LOWER,PM,,,287,15,285
1990,5,17,,,3,26,LOWER,PM,,,292,1,290
1990,5,17,,,3,26,LOWER,PM,,,297,1,295
1990,5,17,,,3,26,LOWER,PM,,,302,1,300
1990,5,18,,,3,26,LOWER,AM,,,237,2,235
1990,5,18,,,3,26,LOWER,AM,,,242,7,240
1990,5,18,,,3,26,LOWER,AM,,,247,15,245
1990,5,18,,,3,26,LOWER,AM,,,252,21,250
1990,5,18,,,3,26,LOWER,AM,,,257,22,255
1990,5,18,,,3,26,LOWER,AM,,,262,19,260
1990,5,18,,,3,26,LOWER,AM,,,267,29,265
1990,5,18,,,3,26,LOWER,AM,,,272,32,270
1990,5,18,,,3,26,LOWER,AM,,,277,28,275
1990,5,18,,,3,26,LOWER,AM,,,282,23,280
1990,5,18,,,3,26,LOWER,AM,,,287,14,285
1990,5,18,,,3,26,LOWER,AM,,,292,9,290
1990,5,18,,,3,26,LOWER,AM,,,297,3,295
1990,5,18,,,3,26,LOWER,AM,,,307,1,305
1990,5,18,,,3,33,UPPER,PM,,,232,1,230
1990,5,18,,,3,33,UPPER,PM,,,237,1,235
1990,5,18,,,3,33,UPPER,PM,,,242,5,240
1990,5,18,,,3,33,UPPER,PM,,,247,8,245
1990,5,18,,,3,33,UPPER,PM,,,252,19,250
1990,5,18,,,3,33,UPPER,PM,,,257,9,255
1990,5,18,,,3,33,UPPER,PM,,,262,15,260
1990,5,18,,,3,33,UPPER,PM,,,267,13,265
1990,5,18,,,3,33,UPPER,PM,,,272,23,270
1990,5,18,,,3,33,UPPER,PM,,,277,10,275
1990,5,18,,,3,33,UPPER,PM,,,282,9,280
1990,5,18,,,3,33,UPPER,PM,,,287,7,285
1990,5,18,,,3,33,UPPER,PM,,,292,8,290
1990,5,18,,,3,33,UPPER,PM,,,297,1,295
1990,5,19,,,3,28,UPPER,AM,,,242,4,240
1990,5,19,,,3,28,UPPER,AM,,,247,5,245
1990,5,19,,,3,28,UPPER,AM,,,252,18,250
1990,5,19,,,3,28,UPPER,AM,,,257,11,255
1990,5,19,,,3,28,UPPER,AM,,,262,9,260
1990,5,19,,,3,28,UPPER,AM,,,267,28,265
1990,5,19,,,3,28,UPPER,AM,,,272,37,270
1990,5,19,,,3,28,UPPER,AM,,,277,24,275
1990,5,19,,,3,28,UPPER,AM,,,282,20,280
1990,5,19,,,3,28,UPPER,AM,,,287,11,285
1990,5,19,,,3,28,UPPER,AM,,,292,9,290
1990,5,19,,,3,28,UPPER,AM,,,297,3,295
1990,5,20,,,4,12,LOWER,AM,,,237,3,235
