"id","old_id"
38186,"2000060312"
38187,"2000060315"
38188,"2000060317"
38189,"2000060325"
38190,"2000060326"
38191,"2000060328"
38192,"2000060334"
38193,"2000060338"
38194,"2000060341"
38195,"2000060347"
38196,"2000060348"
38197,"2000060349"
38198,"2000060351"
38199,"2000060705"
38200,"2000060712"
38201,"2000060715"
38202,"2000060717"
38203,"2000060725"
38204,"2000060726"
38205,"2000060734"
38206,"2000060738"
38207,"2000060741"
38208,"2000060747"
38209,"2000060748"
38210,"2000060749"
38211,"2000060751"
38212,"2000060805"
38213,"2000060812"
38214,"2000060815"
38215,"2000060817"
38216,"2000060825"
38217,"2000060826"
38218,"2000060834"
38219,"2000060838"
38220,"2000060841"
38221,"2000060847"
38222,"2000060848"
38223,"2000060849"
38224,"2000060905"
38225,"2000060912"
38226,"2000060915"
38227,"2000060917"
38228,"2000060925"
38229,"2000060926"
38230,"2000060934"
38231,"2000060938"
38232,"2000060941"
38233,"2000060947"
38234,"2000060948"
38235,"2000060949"
38236,"2000061002"
38237,"2000061005"
38238,"2000061012"
38239,"2000061015"
38240,"2000061017"
38241,"2000061026"
38242,"2000061034"
38243,"2000061038"
38244,"2000061041"
38245,"2000061047"
38246,"2000061048"
38247,"2000061049"
38248,"2000061051"
38249,"2000061415"
38250,"2000061417"
38251,"2000061426"
38252,"2000061434"
38253,"2000061438"
38254,"2000061441"
38255,"2000061447"
38256,"2000061448"
38257,"2000061449"
38258,"2000061451"
38259,"2000061502"
38260,"2000061515"
38261,"2000061517"
38262,"2000061534"
38263,"2000061538"
38264,"2000061541"
38265,"2000061547"
38266,"2000061548"
38267,"2000061549"
38268,"2000061551"
38269,"2000061602"
38270,"2000061615"
38271,"2000061617"
38272,"2000061626"
38273,"2000061634"
38274,"2000061641"
38275,"2000061647"
38276,"2000061648"
38277,"2000061649"
38278,"2000061715"
38279,"2000061717"
38280,"2000061734"
38281,"2000061741"
38282,"2000061748"
38283,"2000061749"
38284,"2000062112"
38285,"2000062149"
38286,"2000062151"
38287,"2000062212"
38288,"2000062234"
38289,"2000062249"
38290,"2000062349"
38291,"2001050926"
38292,"2001051026"
38293,"2001051126"
38294,"2001051226"
38295,"2001051605"
38296,"2001051626"
38297,"2001051641"
38298,"2001051647"
38299,"2001051648"
38300,"2001051649"
38301,"2001051705"
38302,"2001051725"
38303,"2001051726"
38304,"2001051741"
38305,"2001051747"
38306,"2001051748"
38307,"2001051749"
38308,"2001051805"
38309,"2001051812"
38310,"2001051825"
38311,"2001051826"
38312,"2001051835"
38313,"2001051841"
38314,"2001051847"
38315,"2001051848"
38316,"2001051849"
38317,"2001051864"
38318,"2001051905"
38319,"2001051912"
38320,"2001051925"
38321,"2001051926"
38322,"2001051930"
38323,"2001051935"
38324,"2001051941"
38325,"2001051947"
38326,"2001051948"
38327,"2001051949"
38328,"2001051962"
38329,"2001051964"
38330,"2001052305"
38331,"2001052312"
38332,"2001052315"
38333,"2001052317"
38334,"2001052325"
38335,"2001052326"
38336,"2001052330"
38337,"2001052334"
38338,"2001052335"
38339,"2001052338"
38340,"2001052341"
38341,"2001052347"
38342,"2001052348"
38343,"2001052349"
38344,"2001052362"
38345,"2001052364"
38346,"2001052405"
38347,"2001052412"
38348,"2001052415"
38349,"2001052417"
38350,"2001052425"
38351,"2001052426"
38352,"2001052428"
38353,"2001052430"
38354,"2001052433"
38355,"2001052434"
38356,"2001052435"
38357,"2001052438"
38358,"2001052441"
38359,"2001052447"
38360,"2001052448"
38361,"2001052449"
38362,"2001052451"
38363,"2001052464"
38364,"2001052505"
38365,"2001052512"
38366,"2001052515"
38367,"2001052517"
38368,"2001052525"
38369,"2001052526"
38370,"2001052527"
38371,"2001052528"
38372,"2001052530"
38373,"2001052533"
38374,"2001052534"
38375,"2001052535"
38376,"2001052538"
38377,"2001052541"
38378,"2001052547"
38379,"2001052548"
38380,"2001052549"
38381,"2001052551"
38382,"2001052564"
38383,"2001052605"
38384,"2001052612"
38385,"2001052615"
38386,"2001052617"
38387,"2001052625"
38388,"2001052626"
38389,"2001052627"
38390,"2001052628"
38391,"2001052630"
38392,"2001052633"
38393,"2001052634"
38394,"2001052635"
38395,"2001052638"
38396,"2001052641"
38397,"2001052647"
38398,"2001052648"
38399,"2001052649"
38400,"2001052651"
38401,"2001052664"
38402,"2001053002"
38403,"2001053005"
38404,"2001053012"
38405,"2001053015"
38406,"2001053017"
38407,"2001053025"
38408,"2001053026"
38409,"2001053027"
38410,"2001053028"
38411,"2001053030"
38412,"2001053033"
38413,"2001053034"
38414,"2001053035"
38415,"2001053038"
38416,"2001053041"
38417,"2001053047"
38418,"2001053048"
38419,"2001053049"
38420,"2001053051"
38421,"2001053064"
38422,"2001053102"
38423,"2001053105"
38424,"2001053112"
38425,"2001053115"
38426,"2001053117"
38427,"2001053125"
38428,"2001053126"
38429,"2001053127"
38430,"2001053128"
38431,"2001053130"
38432,"2001053133"
38433,"2001053134"
38434,"2001053135"
38435,"2001053138"
38436,"2001053141"
38437,"2001053147"
38438,"2001053148"
38439,"2001053149"
38440,"2001053151"
38441,"2001053164"
38442,"2001060102"
38443,"2001060105"
38444,"2001060112"
38445,"2001060115"
38446,"2001060117"
38447,"2001060125"
38448,"2001060126"
38449,"2001060127"
38450,"2001060128"
38451,"2001060130"
38452,"2001060133"
38453,"2001060134"
38454,"2001060135"
38455,"2001060138"
38456,"2001060141"
38457,"2001060147"
38458,"2001060148"
38459,"2001060149"
38460,"2001060151"
38461,"2001060164"
38462,"2001060202"
38463,"2001060205"
38464,"2001060212"
38465,"2001060215"
38466,"2001060217"
38467,"2001060225"
38468,"2001060226"
38469,"2001060227"
38470,"2001060228"
38471,"2001060230"
38472,"2001060233"
38473,"2001060234"
38474,"2001060235"
38475,"2001060238"
38476,"2001060241"
38477,"2001060247"
38478,"2001060248"
38479,"2001060249"
38480,"2001060251"
38481,"2001060264"
38482,"2001060602"
38483,"2001060605"
38484,"2001060612"
38485,"2001060615"
38486,"2001060617"
38487,"2001060625"
38488,"2001060626"
38489,"2001060627"
38490,"2001060630"
38491,"2001060634"
38492,"2001060635"
38493,"2001060638"
38494,"2001060641"
38495,"2001060647"
38496,"2001060648"
38497,"2001060649"
38498,"2001060651"
38499,"2001060702"
38500,"2001060705"
38501,"2001060712"
38502,"2001060715"
38503,"2001060717"
38504,"2001060725"
38505,"2001060726"
38506,"2001060727"
38507,"2001060730"
38508,"2001060734"
38509,"2001060738"
38510,"2001060741"
38511,"2001060747"
38512,"2001060748"
38513,"2001060749"
38514,"2001060751"
38515,"2001060802"
38516,"2001060805"
38517,"2001060812"
38518,"2001060815"
38519,"2001060817"
38520,"2001060825"
38521,"2001060826"
38522,"2001060827"
38523,"2001060830"
38524,"2001060834"
38525,"2001060838"
38526,"2001060841"
38527,"2001060847"
38528,"2001060848"
38529,"2001060849"
38530,"2001060851"
38531,"2001060905"
38532,"2001060912"
38533,"2001060915"
38534,"2001060917"
38535,"2001060925"
38536,"2001060934"
38537,"2001060938"
38538,"2001060941"
38539,"2001060947"
38540,"2001060948"
38541,"2001060949"
38542,"2001060951"
38543,"2001061302"
38544,"2001061312"
38545,"2001061315"
38546,"2001061317"
38547,"2001061325"
38548,"2001061326"
38549,"2001061327"
38550,"2001061334"
38551,"2001061338"
38552,"2001061341"
38553,"2001061347"
38554,"2001061348"
38555,"2001061349"
38556,"2001061351"
38557,"2001061402"
38558,"2001061412"
38559,"2001061415"
38560,"2001061417"
38561,"2001061425"
38562,"2001061426"
38563,"2001061434"
38564,"2001061438"
38565,"2001061441"
