,count,length_bin_id,sample_id
3607,25,25.5,1999050737
3608,29,26.0,1999050737
3609,20,26.5,1999050737
3610,18,27.0,1999050737
3611,7,27.5,1999050737
3612,4,28.0,1999050737
3613,1,28.5,1999050737
3614,0,29.0,1999050737
3615,1,29.5,1999050737
3616,3,23.5,1999050805
3617,4,24.0,1999050805
3618,12,24.5,1999050805
3619,25,25.0,1999050805
3620,35,25.5,1999050805
3621,48,26.0,1999050805
3622,35,26.5,1999050805
3623,21,27.0,1999050805
3624,15,27.5,1999050805
3625,7,28.0,1999050805
3626,3,23.5,1999050826
3627,6,24.0,1999050826
3628,13,24.5,1999050826
3629,24,25.0,1999050826
3630,49,25.5,1999050826
3631,52,26.0,1999050826
3632,26,26.5,1999050826
3633,20,27.0,1999050826
3634,12,27.5,1999050826
3635,5,28.0,1999050826
3636,1,28.5,1999050826
3637,8,24.0,1999051205
3638,32,24.5,1999051205
3639,37,25.0,1999051205
3640,61,25.5,1999051205
3641,76,26.0,1999051205
3642,39,26.5,1999051205
3643,31,27.0,1999051205
3644,15,27.5,1999051205
3645,3,28.0,1999051205
3646,1,28.5,1999051205
3647,1,29.0,1999051205
3648,2,23.5,1999051235
3649,8,24.0,1999051235
3650,16,24.5,1999051235
3651,33,25.0,1999051235
3652,35,25.5,1999051235
3653,43,26.0,1999051235
3654,30,26.5,1999051235
3655,23,27.0,1999051235
3656,6,27.5,1999051235
3657,3,28.0,1999051235
3658,1,28.5,1999051235
3659,1,23.0,1999051317
3660,1,23.5,1999051317
3661,8,24.0,1999051317
3662,24,24.5,1999051317
3663,37,25.0,1999051317
3664,58,25.5,1999051317
3665,50,26.0,1999051317
3666,53,26.5,1999051317
3667,25,27.0,1999051317
3668,14,27.5,1999051317
3669,5,28.0,1999051317
3670,1,23.0,1999051438
3671,1,23.5,1999051438
3672,9,24.0,1999051438
3673,15,24.5,1999051438
3674,24,25.0,1999051438
3675,23,25.5,1999051438
3676,30,26.0,1999051438
3677,20,26.5,1999051438
3678,12,27.0,1999051438
3679,5,27.5,1999051438
3680,1,28.0,1999051438
3681,1,28.5,1999051438
3682,2,23.5,1999051535
3683,8,24.0,1999051535
3684,26,24.5,1999051535
3685,51,25.0,1999051535
3686,63,25.5,1999051535
3687,56,26.0,1999051535
3688,47,26.5,1999051535
3689,33,27.0,1999051535
3690,10,27.5,1999051535
3691,2,28.0,1999051535
3692,1,28.5,1999051535
3693,2,23.5,1999051926
3694,16,24.0,1999051926
3695,24,24.5,1999051926
3696,64,25.0,1999051926
3697,59,25.5,1999051926
3698,68,26.0,1999051926
3699,45,26.5,1999051926
3700,21,27.0,1999051926
3701,11,27.5,1999051926
3702,5,28.0,1999051926
3703,3,23.5,1999052035
3704,17,24.0,1999052035
3705,23,24.5,1999052035
3706,55,25.0,1999052035
3707,56,25.5,1999052035
3708,56,26.0,1999052035
3709,41,26.5,1999052035
3710,13,27.0,1999052035
3711,3,27.5,1999052035
3712,3,28.0,1999052035
3713,3,23.0,1999052115
3714,8,23.5,1999052115
3715,12,24.0,1999052115
3716,21,24.5,1999052115
3717,47,25.0,1999052115
3718,47,25.5,1999052115
3719,57,26.0,1999052115
3720,30,26.5,1999052115
3721,20,27.0,1999052115
3722,14,27.5,1999052115
3723,4,28.0,1999052115
3724,0,28.5,1999052115
3725,1,29.0,1999052115
3726,1,23.0,1999052135
3727,5,23.5,1999052135
3728,15,24.0,1999052135
3729,38,24.5,1999052135
3730,57,25.0,1999052135
3731,49,25.5,1999052135
3732,52,26.0,1999052135
3733,32,26.5,1999052135
3734,12,27.0,1999052135
3735,5,27.5,1999052135
3736,1,22.5,1999052217
3737,1,23.0,1999052217
3738,7,23.5,1999052217
3739,17,24.0,1999052217
3740,31,24.5,1999052217
3741,64,25.0,1999052217
3742,59,25.5,1999052217
3743,58,26.0,1999052217
3744,40,26.5,1999052217
3745,17,27.0,1999052217
3746,7,27.5,1999052217
3747,2,28.0,1999052217
3748,1,22.5,1999052238
3749,3,23.0,1999052238
3750,6,23.5,1999052238
3751,12,24.0,1999052238
3752,44,24.5,1999052238
3753,66,25.0,1999052238
3754,48,25.5,1999052238
3755,49,26.0,1999052238
3756,30,26.5,1999052238
3757,11,27.0,1999052238
3758,8,27.5,1999052238
3759,1,28.0,1999052238
3760,1,28.5,1999052238
3761,2,22.5,1999052617
3762,1,23.0,1999052617
3763,13,23.5,1999052617
3764,21,24.0,1999052617
3765,30,24.5,1999052617
3766,52,25.0,1999052617
3767,43,25.5,1999052617
3768,47,26.0,1999052617
3769,21,26.5,1999052617
3770,12,27.0,1999052617
3771,0,27.5,1999052617
3772,1,28.0,1999052617
3773,1,23.0,1999052726
3774,14,23.5,1999052726
3775,27,24.0,1999052726
3776,43,24.5,1999052726
3777,53,25.0,1999052726
3778,57,25.5,1999052726
3779,48,26.0,1999052726
3780,14,26.5,1999052726
3781,18,27.0,1999052726
3782,3,27.5,1999052726
3783,3,28.0,1999052726
3784,1,28.5,1999052726
3785,3,22.5,1999052838
3786,15,23.0,1999052838
3787,24,23.5,1999052838
3788,30,24.0,1999052838
3789,60,24.5,1999052838
3790,76,25.0,1999052838
3791,70,25.5,1999052838
3792,39,26.0,1999052838
3793,21,26.5,1999052838
3794,9,27.0,1999052838
3795,2,27.5,1999052838
3796,1,28.0,1999052838
3797,1,21.5,1999052938
3798,0,22.0,1999052938
3799,0,22.5,1999052938
3800,4,23.0,1999052938
3801,3,23.5,1999052938
3802,7,24.0,1999052938
3803,12,24.5,1999052938
3804,6,25.0,1999052938
3805,7,25.5,1999052938
3806,4,26.0,1999052938
3807,4,26.5,1999052938
3808,1,27.0,1999052938
3809,0,27.5,1999052938
3810,1,28.0,1999052938
3811,2,22.5,1999060205
3812,3,23.0,1999060205
3813,6,23.5,1999060205
3814,8,24.0,1999060205
3815,12,24.5,1999060205
3816,19,25.0,1999060205
3817,13,25.5,1999060205
3818,5,26.0,1999060205
3819,2,26.5,1999060205
3820,2,27.0,1999060205
3821,1,27.5,1999060205
3822,0,28.0,1999060205
3823,0,28.5,1999060205
3824,0,29.0,1999060205
3825,1,29.5,1999060205
3826,3,22.5,1999060338
3827,3,23.0,1999060338
3828,6,23.5,1999060338
3829,10,24.0,1999060338
3830,18,24.5,1999060338
3831,19,25.0,1999060338
3832,16,25.5,1999060338
3833,23,26.0,1999060338
3834,8,26.5,1999060338
3835,4,27.0,1999060338
3836,2,27.5,1999060338
3837,1,22.5,1999060405
3838,9,23.0,1999060405
3839,5,23.5,1999060405
3840,19,24.0,1999060405
3841,12,24.5,1999060405
3842,22,25.0,1999060405
3843,10,25.5,1999060405
3844,11,26.0,1999060405
3845,3,26.5,1999060405
3846,2,27.0,1999060405
3847,1,27.5,1999060405
3848,1,21.0,1999061038
3849,0,21.5,1999061038
3850,0,22.0,1999061038
3851,1,22.5,1999061038
3852,1,23.0,1999061038
3853,0,23.5,1999061038
3854,0,24.0,1999061038
3855,3,24.5,1999061038
3856,6,25.0,1999061038
3857,7,25.5,1999061038
3858,2,26.0,1999061038
3859,3,20.5,1999061117
3860,3,21.0,1999061117
3861,2,21.5,1999061117
3862,4,22.0,1999061117
3863,7,22.5,1999061117
3864,27,23.0,1999061117
3865,22,23.5,1999061117
3866,30,24.0,1999061117
3867,31,24.5,1999061117
3868,27,25.0,1999061117
3869,18,25.5,1999061117
3870,7,26.0,1999061117
3871,1,26.5,1999061117
3872,2,21.0,1999061238
3873,2,21.5,1999061238
3874,3,22.0,1999061238
3875,6,22.5,1999061238
3876,6,23.0,1999061238
3877,12,23.5,1999061238
3878,13,24.0,1999061238
3879,7,24.5,1999061238
3880,11,25.0,1999061238
3881,8,25.5,1999061238
3882,1,26.0,1999061238
3883,2,26.5,1999061238
3884,1,23.0,2000050317
3885,3,23.5,2000050317
3886,1,24.0,2000050317
3887,4,24.5,2000050317
3888,9,25.0,2000050317
3889,11,25.5,2000050317
3890,18,26.0,2000050317
3891,18,26.5,2000050317
3892,19,27.0,2000050317
3893,12,27.5,2000050317
3894,13,28.0,2000050317
3895,8,28.5,2000050317
3896,2,29.0,2000050317
3897,1,29.5,2000050317
3898,1,30.0,2000050317
3899,1,23.5,2000050341
3900,1,24.0,2000050341
3901,1,24.5,2000050341
3902,5,25.0,2000050341
3903,16,25.5,2000050341
3904,29,26.0,2000050341
3905,18,26.5,2000050341
3906,12,27.0,2000050341
3907,13,27.5,2000050341
3908,12,28.0,2000050341
3909,3,28.5,2000050341
3910,1,29.0,2000050341
3911,2,23.5,2000050402
3912,7,24.0,2000050402
3913,15,24.5,2000050402
3914,20,25.0,2000050402
3915,28,25.5,2000050402
3916,47,26.0,2000050402
3917,45,26.5,2000050402
3918,38,27.0,2000050402
3919,35,27.5,2000050402
3920,22,28.0,2000050402
3921,9,28.5,2000050402
3922,3,29.0,2000050402
3923,1,29.5,2000050402
3924,1,30.0,2000050402
3925,3,24.5,2000050425
3926,5,25.0,2000050425
3927,18,25.5,2000050425
3928,23,26.0,2000050425
3929,20,26.5,2000050425
3930,26,27.0,2000050425
3931,31,27.5,2000050425
3932,33,28.0,2000050425
3933,11,28.5,2000050425
3934,4,29.0,2000050425
3935,1,29.5,2000050425
3936,1,30.0,2000050425
3937,3,23.5,2000050526
3938,3,24.0,2000050526
3939,10,24.5,2000050526
3940,29,25.0,2000050526
3941,34,25.5,2000050526
3942,48,26.0,2000050526
3943,47,26.5,2000050526
3944,42,27.0,2000050526
3945,24,27.5,2000050526
3946,20,28.0,2000050526
3947,12,28.5,2000050526
3948,7,29.0,2000050526
3949,3,23.5,2000050538
3950,3,24.0,2000050538
3951,9,24.5,2000050538
3952,15,25.0,2000050538
3953,38,25.5,2000050538
3954,43,26.0,2000050538
3955,51,26.5,2000050538
3956,62,27.0,2000050538
3957,40,27.5,2000050538
3958,24,28.0,2000050538
3959,13,28.5,2000050538
3960,11,29.0,2000050538
3961,1,29.5,2000050538
3962,1,30.0,2000050538
3963,2,23.5,2000050605
3964,3,24.5,2000050605
3965,16,25.0,2000050605
3966,10,25.5,2000050605
3967,22,26.0,2000050605
3968,14,26.5,2000050605
3969,21,27.0,2000050605
3970,16,27.5,2000050605
3971,7,28.0,2000050605
3972,7,28.5,2000050605
3973,2,29.0,2000050605
3974,0,29.5,2000050605
3975,3,23.0,2000051026
3976,1,23.5,2000051026
3977,7,24.0,2000051026
3978,10,24.5,2000051026
3979,15,25.0,2000051026
3980,34,25.5,2000051026
3981,47,26.0,2000051026
3982,48,26.5,2000051026
3983,54,27.0,2000051026
3984,39,27.5,2000051026
3985,23,28.0,2000051026
