,sample_id,length_bin_id,count
9232,2016051462,22.5,5
9233,2016051462,23.0,20
9234,2016051462,23.5,30
9235,2016051462,24.0,54
9236,2016051462,24.5,46
9237,2016051462,25.0,30
9238,2016051462,25.5,24
9239,2016051462,26.0,9
9240,2016051462,26.5,2
9241,2016051462,27.5,1
9242,2016051712,22.5,2
9243,2016051712,23.0,18
9244,2016051712,23.5,41
9245,2016051712,24.0,59
9246,2016051712,24.5,52
9247,2016051712,25.0,42
9248,2016051712,25.5,27
9249,2016051712,26.0,5
9250,2016051712,26.5,1
9251,2016051712,27.0,1
9252,2016051725,21.5,2
9253,2016051725,22.0,3
9254,2016051725,22.5,3
9255,2016051725,23.0,19
9256,2016051725,23.5,47
9257,2016051725,24.0,54
9258,2016051725,24.5,46
9259,2016051725,25.0,23
9260,2016051725,25.5,12
9261,2016051725,26.0,12
9262,2016051725,26.5,3
9263,2016051725,27.0,1
9264,2016051733,22.5,4
9265,2016051733,23.0,26
9266,2016051733,23.5,41
9267,2016051733,24.0,55
9268,2016051733,24.5,44
9269,2016051733,25.0,33
9270,2016051733,25.5,11
9271,2016051733,26.0,8
9272,2016052126,21.0,1
9273,2016052126,22.0,1
9274,2016052126,22.5,11
9275,2016052126,23.0,26
9276,2016052126,23.5,35
9277,2016052126,24.0,46
9278,2016052126,24.5,39
9279,2016052126,25.0,34
9280,2016052126,25.5,17
9281,2016052126,26.0,9
9282,2016052126,26.5,3
9283,2016052126,27.0,1
9284,2016052141,22.0,1
9285,2016052141,22.5,1
9286,2016052141,23.0,18
9287,2016052141,23.5,28
9288,2016052141,24.0,59
9289,2016052141,24.5,61
9290,2016052141,25.0,41
9291,2016052141,25.5,23
9292,2016052141,26.0,10
9293,2016052141,26.5,5
9294,2016052141,27.0,2
9295,2016052141,27.5,1
9296,2016052412,22.5,3
9297,2016052412,23.0,19
9298,2016052412,23.5,26
9299,2016052412,24.0,57
9300,2016052412,24.5,46
9301,2016052412,25.0,49
9302,2016052412,25.5,16
9303,2016052412,26.0,10
9304,2016052412,26.5,3
9305,2016052433,22.0,2
9306,2016052433,22.5,11
9307,2016052433,23.0,22
9308,2016052433,23.5,46
9309,2016052433,24.0,59
9310,2016052433,24.5,35
9311,2016052433,25.0,24
9312,2016052433,25.5,14
9313,2016052433,26.0,6
9314,2016052433,26.5,1
9315,2016052615,22.5,2
9316,2016052615,23.0,5
9317,2016052615,23.5,20
9318,2016052615,24.0,46
9319,2016052615,24.5,55
9320,2016052615,25.0,50
9321,2016052615,25.5,22
9322,2016052615,26.0,13
9323,2016052615,26.5,1
9324,2016052641,22.0,2
9325,2016052641,22.5,8
9326,2016052641,23.0,24
9327,2016052641,23.5,39
9328,2016052641,24.0,38
9329,2016052641,24.5,48
9330,2016052641,25.0,44
9331,2016052641,25.5,21
9332,2016052641,26.0,4
9333,2016052641,27.0,1
9334,2016052641,27.5,1
9335,2016052662,21.5,1
9336,2016052662,22.0,1
9337,2016052662,22.5,5
9338,2016052662,23.0,17
9339,2016052662,23.5,41
9340,2016052662,24.0,55
9341,2016052662,24.5,42
9342,2016052662,25.0,29
9343,2016052662,25.5,18
9344,2016052662,26.0,6
9345,2016052662,26.5,3
9346,2016052662,28.0,1
9347,2016053100,22.0,1
9348,2016053100,22.5,5
9349,2016053100,23.0,25
9350,2016053100,23.5,38
9351,2016053100,24.0,70
9352,2016053100,24.5,41
9353,2016053100,25.0,22
9354,2016053100,25.5,11
9355,2016053100,26.0,3
9356,2016053100,26.5,1
9357,2016053126,21.0,1
9358,2016053126,21.5,1
9359,2016053126,22.0,6
9360,2016053126,22.5,13
9361,2016053126,23.0,32
9362,2016053126,23.5,63
9363,2016053126,24.0,46
9364,2016053126,24.5,44
9365,2016053126,25.0,17
9366,2016053126,25.5,4
9367,2016053126,26.0,2
9368,2016053126,26.5,1
9369,2016060141,21.0,1
9370,2016060141,21.5,1
9371,2016060141,22.0,1
9372,2016060141,22.5,11
9373,2016060141,23.0,20
9374,2016060141,23.5,45
9375,2016060141,24.0,60
9376,2016060141,24.5,54
9377,2016060141,25.0,24
9378,2016060141,25.5,8
9379,2016060141,26.0,4
9380,2016060325,22.5,5
9381,2016060325,23.0,19
9382,2016060325,23.5,36
9383,2016060325,24.0,72
9384,2016060325,24.5,48
9385,2016060325,25.0,25
9386,2016060325,25.5,13
9387,2016060325,26.0,3
9388,2016060325,26.5,1
9389,2016060325,27.0,1
9390,2016060333,21.5,1
9391,2016060333,22.0,2
9392,2016060333,22.5,5
9393,2016060333,23.0,29
9394,2016060333,23.5,57
9395,2016060333,24.0,66
9396,2016060333,24.5,36
9397,2016060333,25.0,22
9398,2016060333,25.5,10
9399,2016060333,26.0,7
9400,2016060333,26.5,1
9401,2016060333,27.0,2
9402,2016060351,21.0,1
9403,2016060351,21.5,1
9404,2016060351,22.0,1
9405,2016060351,22.5,9
9406,2016060351,23.0,33
9407,2016060351,23.5,55
9408,2016060351,24.0,57
9409,2016060351,24.5,38
9410,2016060351,25.0,18
9411,2016060351,25.5,9
9412,2016060351,26.0,5
9413,2016060351,26.5,1
9414,2016060712,21.5,1
9415,2016060712,22.0,4
9416,2016060712,22.5,11
9417,2016060712,23.0,28
9418,2016060712,23.5,47
9419,2016060712,24.0,61
9420,2016060712,24.5,52
9421,2016060712,25.0,31
9422,2016060712,25.5,12
9423,2016060712,26.0,5
9424,2016060741,21.5,4
9425,2016060741,22.0,2
